Anonymized_Employee_ID	Product_S	Product_B	Product_C	total_sold	length(days)	days_with_sales(percen)	sales_per_day	unique_customers	unique_customers(percen)
FR_XYZ_S2043_AL	0.34	0.32	0.33	3112	606	0.38	13.36	353	0.33207902163687675
FR_XYZ_S2043_QZ	0.33	0.33	0.33	4325	609	0.48	14.91	410	0.2839335180055402
FR_XYZ_S2044_AL	0.34	0.33	0.33	4516	606	0.5	14.76	355	0.23111979166666666
FR_XYZ_S2044_QZ	0.34	0.33	0.33	3319	600	0.38	14.69	319	0.28305235137533274
FR_XYZ_S2051_AL	0.36	0.32	0.32	3719	606	0.48	12.69	300	0.22556390977443608
FR_XYZ_S2051_QZ	0.47	0.25	0.28	3130	609	0.49	10.4	310	0.21262002743484226
FR_XYZ_S2052_AL	0.34	0.33	0.33	4137	609	0.48	14.02	413	0.2956335003579098
FR_XYZ_S2052_QZ	0.39	0.29	0.33	3634	606	0.49	12.24	475	0.3383190883190883
FR_XYZ_S2053_AL	0.36	0.32	0.32	3886	606	0.48	13.49	226	0.1631768953068592
FR_XYZ_S2053_QZ	0.35	0.33	0.33	4263	606	0.48	14.55	275	0.18568534773801484
FR_XYZ_S2054_AL	0.46	0.18	0.36	1917	493	0.35	11.15	247	0.2797281993204983
FR_XYZ_S2054_QZ	0.35	0.32	0.33	4567	605	0.47	16.08	301	0.18649318463444858
FR_XYZ_S2061_AL	0.34	0.33	0.33	4667	605	0.48	16.04	316	0.20165922144224632
FR_XYZ_S2061_QZ	0.35	0.31	0.35	142	605	0.03	7.1	43	0.8775510204081632
FR_XYZ_S2062_AL	0.34	0.33	0.33	3920	606	0.43	15.08	343	0.2580887885628292
FR_XYZ_S2062_QZ	0.36	0.32	0.32	3351	606	0.4	13.68	363	0.302248126561199
FR_XYZ_S2063_AL	0.34	0.33	0.33	3486	609	0.47	12.1	325	0.2708333333333333
FR_XYZ_S2063_QZ	0.34	0.33	0.33	4181	604	0.48	14.32	294	0.208955223880597
FR_XYZ_S2064_AL	0.37	0.31	0.32	4074	609	0.5	13.45	367	0.24434087882822902
FR_XYZ_S2064_QZ	0.34	0.33	0.33	4683	606	0.5	15.46	325	0.2032520325203252
FR_XYZ_S2071_AL	0.41	0.24	0.35	2978	606	0.5	9.76	319	0.2601957585644372
FR_XYZ_S2071_QZ	0.34	0.33	0.33	4350	579	0.51	14.75	272	0.1864290610006854
FR_XYZ_S2072_AL	0.4	0.28	0.31	3318	609	0.47	11.48	304	0.22771535580524344
FR_XYZ_S2072_QZ	0.34	0.32	0.33	4011	606	0.47	13.98	299	0.21666666666666667
FR_XYZ_S2073_AL	0.59	0.09	0.32	1794	584	0.48	6.36	266	0.2526115859449193
